id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
115,"Blink","50","8","20","28","77","64","Clarice Ferguson","No alter egos found.","-","Bahamas","Uncanny X-Men #317 (October, 1994)","Marvel Comics","good","Female","Mutant","5'5","165 cm","125 lb","56 kg","Green","Magenta","Adventurer, freedom fighter","Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Black Rome, Necrosha","New Mutants; formerly X-Men, Selene's Inner Circle","Apocalypse (ancestor, deceased);Margaret Slade (ancestor, deceased);Hamilton Slade (distant relative, deceased);Frederick Slade (great-great-grandfather);Ms. Ferguson (great-great-grandmother, deceased);Chamber (distant cousin);Clan Akkaba (relatives)",,,,,,,,,,,,,,,,,,,
116,"Blizzard","null","null","null","null","null","null","Gregor Shapanka","No alter egos found.","Jack Frost","-","Tales of Suspense #45","Marvel Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","Brown","Professional criminal, mercenary, engineer, former scientist","New York City, New York","Former employee of Justin Hammer, partner of Blacklash and Melter","-",,,,,,,,,,,,,,,,,,,
117,"Blizzard","null","72","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
118,"Blizzard II","38","10","27","42","47","56","Donald Gill","No alter egos found.","-","Newark, Delaware","Iron Man #223 (1987)","Marvel Comics","bad","Male","null","5'9","175 cm","170 lb","77 kg","Brown","Brown","Adventurer; former mercenary and professional criminal","-","Formerly Thunderbolts, Hammer Industries","-",,,,,,,,,,,,,,,,,,,
119,"Blob","10","83","23","95","28","72","Frederick J. Dukes","No alter egos found.","-","Lubbock, Texas","X-Men #3 (1964)","Marvel Comics","bad","Male","null","5'10","178 cm","510 lb","230 kg","Brown","Brown","Former criminal, terrorist, government agent, carnival performer","-","X-Cell, formerly X-Corps, Magneto's army, Brotherhood Of Evil Mutants, Freedom Force, Factor Three, former partner of Unus","-",,,,,,,,,,,,,,,,,,,
120,"Bloodaxe","63","80","33","80","100","84","Jackie Lukus","No alter egos found.","-","-","(as Jackie Lukus) Thor #392 (as Bloodaxe) Thor #449","Marvel Comics","bad","Female","Human","7'2","218 cm","1100 lb","495 kg","Blue","Brown","Architect, former vigilante","-","-","-",,,,,,,,,,,,,,,,,,,
121,"Bloodhawk","50","10","50","80","80","64","Lemuel Krug","No alter egos found.","Lemuel Halcon","-","X-Men (2099) #1","Marvel Comics","good","Male","Mutant","-","0 cm","- lb","0 kg","Black","No Hair","-","-","X-Peditioners, formerly X-Men, Halo City Protectorate, Oasis","-",,,,,,,,,,,,,,,,,,,
122,"Bloodwraith","null","72","null","null","null","null","Sean Dolan","No alter egos found.","Black Wraith","-","(Dolan) Black Knight #2 (1990); (Bloodwraith) Avengers Annual #22 (1993)","Marvel Comics","bad","Male","null","100'0","30.5 meters","- lb","0 kg","White","No Hair","Former squire","Slorenia","-","-","Blood Wraith",,,,,,,,,,,,,,,,,,
123,"Blue Beetle","null","null","null","null","null","null","Daniel Garrett","No alter egos found.","Daniel Garret (spelling variation)","-","Mystery Men Comics #1","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","Blue","Brown","Archaeologist; professor of archaeology","-","-","Danielle Garrett (granddaughter)",,,,,,,,,,,,,,,,,,,
124,"Blue Beetle","null","null","null","null","null","null",,"No alter egos found.","-","-","-","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
125,"Blue Beetle II","null","45","null","null","null","null","Theodore Kord","No alter egos found.","-","Chicago, Illinois","CAPTAIN ATOM Vol. 1 #83 (1966) (Published by Charlton Comics)","DC Comics","good","Male","null","6'0","183 cm","190 lb","86 kg","Blue","Brown","Inventor, President of Kord Omniversal, Crimefighter","-","Formerly Justice League of America; formerly the L.A.W.; formerly Super Buddies","Jarvis Kord (uncle)",,,,,,,,,,,,,,,,,,,
126,"Blue Beetle III","50","34","58","80","100","30","Jaime Reyes","No alter egos found.","Scooter","Presumed to be El Paso","Infinite Crisis #3 (2006)","DC Comics","good","Male","Human","-","0 cm","- lb","0 kg","Brown","Black","Student","El Paso, Texas","Justice League International,Posse; Teen Titans","Alberto Reyes (father); Bianca Reyes (mother); Milagro Reyes (younger sister); Alejandro Reyes (grandfather, deceased); Elena Leal (maternal grandmother)",,,,,,,,,,,,,,,,,,,
127,"Boba Fett","63","10","38","36","68","70",,"No alter egos found.","Teff","Kamino","-","George Lucas","bad","Male","Human / Clone","6'0","183 cm","- lb","0 kg","Brown","Black","Bounty Hunter","-","-","-","Sava Brek Madak",Jaster Mereel,Mandalore,Mand'alor,,,,,,,,,,,,,,,
128,"Bolt","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
129,"Bomb Queen","null","73","null","null","null","null",,"No alter egos found.","-","-","Bomb Queen (2006) #1","Image Comics","bad","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","Dictator of New Port City, The Four Queens","-",,,,,,,,,,,,,,,,,,,
130,"Boom-Boom","38","10","12","42","57","64","Tabitha Smith","Meltdown","Time Bomb","-","Secret Wars II #5","Meltdown","good","Female","Mutant","5'5","165 cm","122 lb","55 kg","Blue","Blond","Adventurer, former student, thief","-","Formerly Utopians, X-Men (New Charles Xavier School member), X-Force, X-Men, Nextwave, The Underground, Genoshan Mutates, New Mutants, X-Terminators (founding member), X-Factor (trainee), Fallen Angels, Beyonder (associate)","-","Boomer",Meltdown,Tabby,Firecracker,Mutate #35,"Nancy Forrester",,,,,,,,,,,,,
131,"Boomer","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
132,"Booster Gold","69","85","42","70","100","40","Michael Jon Carter","No alter egos found.","Bharjwarj","Gotham City, 25th Century","Booster Gold #1","DC Comics","good","Male","Human","6'5","196 cm","215 lb","97 kg","Blue","Blond","Superhero, Founder, C.E.O & Chairman of Booster Gold International","Metropolis, Earth, 21st Century, formerly Gotham City, 25th Century","Justice League International, Time Masters; formerly Conglomerate, Extreme Justice, Super Buddies","Jonar Carter (father), Ellen Carter (mother, deceased), Michelle Carter (aka Goldstar) (twin sister), Rip Hunter (son) · Rani (adopted daughter), Daniel Carter (21st century ancestor), Rose Levin (ancestor)","Bloodspot",Boosteroo,Booster,the Boy Wonder,Buster,"Deathstroke","Goldstar","Greatest Hero You've Never Heard Of","Guardian of the Multiverse","Jesus Alvarez","Kid","Killer Moth","The King","Loser Gold","Major Idiot","Man of Gold","Michael Carter","Blac",
133,"Box","null","null","null","null","null","null","Roger Bochs","No alter egos found.","Omega","-","-","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
134,"Box III","null","null","null","null","null","null","Dr. Walter Langowski","No alter egos found.","Box III","British Columbia","First appearance unknown","Marvel Comics","good","-","null","6'4","193 cm","245 lb","110 kg","Blue","Blond","Physics professor, former NFL player","Base of operations unknown","Alpha Flight","No known relatives","Wanda",,,,,,,,,,,,,,,,,,
135,"Box IV","50","75","23","28","11","56","Madison Jeffries","Gemini V","Gemini","Place of birth unknown","Alpha Flight #16","Gemini V","good","-","null","-","0 cm","- lb","0 kg","Brown","Brown / Black","Inventor, former soldier","Base of operations unknown","Alpha Flight, Gamma Flight, Zodiac, Team_Weapon_X","Scramble (Lionel Jeffries, brother, deceased), Diamond Lil (wife)","Jack-In-The-Box",,,,,,,,,,,,,,,,,,
136,"Brainiac","100","95","63","90","60","75","Vril Dox","No alter egos found.","Milton Fine","-","Action Comics #242 (July 1958)","DC Comics","bad","Male","Android","6'6","198 cm","300 lb","135 kg","Green","No Hair","-","-","Lex Luthor","Vril Dox II (son), Brainiac 5 (descendant)",,,,,,,,,,,,,,,,,,,
137,"Brainiac 5","100","10","23","28","60","32","Querl Dox","No alter egos found.","-","-","Brainiac 5's primary invention is his personal force-shield generator. Brainiac 5 re-discovered the technical process behind original Brainiac's force-shield belt, which is capable of generating a virtually impervious field of protection. The belt must be","DC Comics","good","Male","null","5'7","170 cm","135 lb","61 kg","Green","Blond","-","-","Legion of Super-Heroes","Unnamed mother, Brainiac (ancestor)",,,,,,,,,,,,,,,,,,,
138,"Brother Voodoo","null","65","null","null","null","null","Jericho Drumm","No alter egos found.","Doctor Voodoo","Port-au-Prince, Haiti","Strange Tales #169 (September, 1973)","Marvel Comics","good","Male","Human","6'0","183 cm","220 lb","99 kg","Brown","Brown / White","Psychologist Houngan (voodoo priest)","Port-au-Prince, Haiti","-","Daniel Drumm (brother deceased), Matilda Drumm (aunt)","Sorcerer Supreme",,,,,,,,,,,,,,,,,,
139,"Brundlefly","69","32","25","40","27","15","Seth Brundle","No alter egos found.","The Fly","-","The Fly (1986)",,"-","Male","Mutant","6'4","193 cm","- lb","0 kg","-","-","Scientist","-","-","-",,,,,,,,,,,,,,,,,,,
140,"Buffy","63","28","42","70","48","60","Buffy Anne Summers","No alter egos found.","Anne","-","Dark Horse Presents 1998 Annual","Dark Horse Comics","good","Female","Human","5'2","157 cm","115 lb","52 kg","Green","Blond","Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor","-","Slayer Army, Scooby Gang, (formerly) The Initiative, Watchers Council","Joyce Summers (mother, deceased) ; Hank Summers (father) ; Dawn Summers (sister) ; Celia (cousin, deceased) ; Arlene (aunt)","The Chosen One",The Vampire Slayer,The Slayer,Buff,B,"The Buffster","Belinda","Joan",,,,,,,,,,,
141,"Bullseye","50","11","25","70","20","70","Lester","No alter egos found.","Benjamin Poindexter","-","Daredevil #131 (March, 1976)","Marvel Comics","bad","Male","Human","6'0","183 cm","200 lb","90 kg","blue","blond","Assassin, professional criminal, former mercenary","Formerly Avengers Tower; Thunderbolts Mountain","Formerly Dark Avengers, Thunderbolts, employee of Kingpin, Purple Man, Eric Slaughter, Mysterio; formerly US Army","Kingmaker (father)","Daredevil",Punisher,Bullseye,Hawkeye,pitcher,,,,,,,,,,,,,,
142,"Bumblebee","63","28","25","10","47","35","Karen Beecher","No alter egos found.","-","-","Teen Titans #45","DC Comics","good","Female","Human","5'7","170 cm","130 lb","59 kg","Brown","Black","-","San Francisco, California","Doom Patrol, S.T.A.R. Labs, Formerly Teen Titans","Mal Duncan (husband)",,,,,,,,,,,,,,,,,,,
143,"Bumbleboy","null","null","null","null","null","null",,"No alter egos found.","-","-","New X-Men #153","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
144,"Bushido","38","10","8","10","19","70","Ryuko Orsono","No alter egos found.","-","-","Titans: Secret Files & Origins #2","DC Comics","good","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","Teen Titans","-",,,,,,,,,,,,,,,,,,,
145,"Cable","88","48","23","56","100","80","Nathan Summers","No alter egos found.","Chosen One","Unrevealed location in the 20th Century United States","New Mutants #86 (as Cable)","Marvel Comics","good","Male","Mutant","6'8","203 cm","350 lb","158 kg","Blue","White","(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force","The Xavier Institute, Salem Center, Westchester County, New York","X-Force, (former) X-Men, Clan Askani, Clan Chosen, Six Pack (formerly Wild Pack II)","Scott Summers (Cyclops, father), Madelyne Pryor-Summers (Goblin Queen, mother, deceased), Jean Grey (Phoenix, stepmother), Alexander Summers (Havok, uncle), Christopher Summers (Corsair, paternal grandfather), Katherine Anne Summers (paternal grandmother, deceased), Philip Summers (great-grandfather), Deborah Summers (great-grandmother), Jenskot (Aliya, wife, deceased), Tyler (Genesis, son, deceased), Stryfe (clone, deceased), Gabriel Summers (Vulcan, uncle)","Soldier X",Nathan Dayspring,Askani'son,Nathan Dayspring Summers,Nathan Winters,"The Traveller","The Saviour",,,,,,,,,,,,
146,"Callisto","63","53","23","42","52","85","Callisto","No alter egos found.","-","-","X-MEN (first series) #169","Marvel Comics","bad","Female","null","5'9","175 cm","165 lb","74 kg","Blue","Black","-","The Xavier Institute, Salem Center, Westchester County, New York State, (former) The Alley (beneath Manhattan's surface), X-Factor I's sentient starship","Excalibur, Morlocks, Gene Nation","-",,,,,,,,,,,,,,,,,,,
147,"Cameron Hicks","50","10","23","28","51","70",,"No alter egos found.","-","-","-","SyFy","good","Male","Alpha","-","0 cm","- lb","0 kg","-","-","-","-","Alphas","-",,,,,,,,,,,,,,,,,,,
148,"Cannonball","50","28","67","99","94","56","Samuel Zachery Guthrie","No alter egos found.","Formerly Samson Guthry","Cumberland County, Kentucky","Marvel Graphic Novel #4 (1982)","Marvel Comics","good","Male","null","6'0","183 cm","181 lb","81 kg","Blue","Blond","Adventurer, peacekeeper, former student, mercenary, miner","-","X-Men, formerly X.S.E., Mutant Liberation Front, X-Treme X-Men, X-Corporation, X-Force, New Mutants, Hellions, Hellfire Club","Thomas Zebulon (father, deceased), Lucinda (mother), Lucas Bartholemew (uncle), Paige (Husk, sister), Joshua ""Jay"" (Icarus, brother, deceased), Joelle (sister), Elizabeth (sister), Melody (Aero, sister), Jebediah (brother), Lewis (brother), two other unnamed siblings, Ray Jr. (adopted brother)","Sam Guthrie",Jet-Ass,,,,,,,,,,,,,,,,,
149,"Captain America","69","19","38","55","60","100","Steve Rogers","No alter egos found.","Nomad","Manhattan, New York City, New York","Captain America Comics #1 (March 1941)","Marvel Comics","good","Male","Human","6'2","188 cm","240 lb","108 kg","blue","blond","Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.","New York City","Secret Avengers (Black OPS Unit Formerly,The Avengers, Secret Avengers (Civil War), New Avengers, formerly The Invaders, Secret Defenders The Redeemers; formerly partner of Bucky, Golden Girl, Rick Jones, Falcon, Demolition-Man and Nomad (Jack Monroe)","Joseph (father, deceased), Sara (mother, deceased), Ian Zola (Nomad) (adopted son)","The Captain",,,,,,,,,,,,,,,,,,
150,"Captain Atom","81","93","83","90","100","80","Nathaniel Adam","No alter egos found.","Monarch","-","Captain Atom #1","DC Comics","good","Male","Human / Radiation","6'4","193 cm","200 lb","90 kg","Blue","Silver","Former Soldier","-","Justice League, Extreme Justice, Super Buddies, Living Assault Weapons, Monarch's Army, United States Air Force","Angela Adam Eiling (wife, deceased), Peggy Eiling (daughter), Randy Eiling (son), Bette Sans Souci (ex-wife, divorced)","Allen Adam",Cameron Scott,,,,,,,,,,,,,,,,,
151,"Captain Britain","75","77","50","60","31","80","Brian Braddock","No alter egos found.","Britannic","Braddock Manor, England","Captain Britain #1 (October, 1976)","Marvel Comics","good","Male","Human","6'6","198 cm","257 lb","116 kg","Blue","Blond","Adventurer, formerly King of Otherworld, scientist","Lighthouse, Earth Orbit; Starlight Citadel, Otherworld; formerly Braddock Manor; Braddock Lighthouse, England; New York City (during exchange trip, specifically Peter Parker's Manhattan apartment); flat near Thames University, London","Braddock Academy, Captain Britain Corps, MI-13; formerly Excalibur, Hellfire Club (London Branch), Secret Avengers, Court of Otherworld, Knights of Pendragon's ally, Future Iron Man's Team","John Braddock (ancestor, possibly grandfather), James Braddock, Sr. (father, deceased), Lady Elizabeth Braddock (mother, deceased), James Braddock, Jr. (brother), Elizabeth Braddock (twin sister), Meggan (wife), William Puceanu (father-in-law)","Black Bishop",Jungle Man,King of Otherworld,Merlinson,,,,,,,,,,,,,,,
152,"Captain Cold","50","10","17","20","28","20","Leonard Snart","No alter egos found.","Citizen Cold","-","Flash Vol 4 #6 (April, 2012)","DC Comics","neutral","Male","Human","-","0 cm","- lb","0 kg","Brown","Brown","Professional Criminal","-","Justice League, Rogues; formerly Secret Society of Super-Villains, Injustice League","Lisa Snart (sister)","Kid Kold",Len Snart,Leonard Snart,Leonards Wynters,The Man Who Mastered Absolute Zero,,,,,,,,,,,,,,
153,"Captain Epic","null","null","null","null","null","null",,"No alter egos found.","-","Canada","World War II","Team Epic TV","good","Male","null","6'2","188 cm","- lb","0 kg","Blue","Brown","Superhero","Toronto","Team Epic, The Canadian Shield Alliance (CSA)","-",,,,,,,,,,,,,,,,,,,
154,"Captain Hindsight","25","10","83","30","10","20","Jack Brolin","No alter egos found.","-","-","South Park S14 E11 ""Coon 2: Hindsight""","South Park","good","Male","Human","-","0 cm","- lb","0 kg","-","Black","Former Superhero; News Reporter","-","-","-",,,,,,,,,,,,,,,,,,,
155,"Captain Mar-vell","null","80","null","null","null","null","Mar-Vell","No alter egos found.","Captain Marvel","The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud)","MARVEL SUPERHEROES #18","Marvel Comics","good","Male","null","6'2'","188 cm","240 lb","108 kg","Blue","Blond","Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""","-","Avengers","Mar-Vell (father-deceased), Elysius (mother-deceased)","Dr. Walter Lawson",,,,,,,,,,,,,,,,,,
156,"Captain Marvel","88","100","88","95","100","75","Billy Batson","No alter egos found.","The World's Mightiest Mortal","Fawcett City, United States","Whiz Comics no. 2 (1940)","DC Comics","good","Male","Human","6'4","193 cm","225 lb","101 kg","Blue","Black","-","-","Marvel Family, Justice Society of America","C.C. Batson (father, deceased), Marilyn Batson (mother, deceased), Ebenezer Batson (uncle), Mary Batson (Mary Marvel, sister)","The Big Red Cheese",Captain Thunder,Shazam,,,,,,,,,,,,,,,,
157,"Captain Marvel","84","88","71","95","100","90","Carol Danvers","Binary, Warbird","Ace","Boston, Massachusetts","Ms. Marvel #1","Binary","good","Female","Human-Kree","5'11","180 cm","165 lb","74 kg","Blue","Blond","Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.","Avengers Mansion","currently Avengers, former companion to the X-Men (as Carol Danvers), former member of the Starjammers (as Binary), Former Avenger (as Ms. Marvel)","Marie Danvers (mother), Joseph Danvers, Sr. (father), Joseph Danvers, Jr. (brother), Steve Danvers (brother, deceased), Marcus Immortus (Danvers) (""son"", deceased)","Binary",Lady Marvel,Warbird,others used during her espionage career,,,,,,,,,,,,,,,
158,"Captain Marvel II","75","81","27","90","34","56","Frederick Christopher Freeman","No alter egos found.","Captain Marvel Jr.","-","Current incarnation: (As Freddy Freeman) The Power of Shazam #3 (May, 1995)","DC Comics","good","Male","Human","5'9","175 cm","165 lb","74 kg","Blue","Black","Adventurer","Primarily Fawcett City.","Marvel Family, formerly Outsiders and Teen Titans.","parents, deceased, Jacob Freeman (granfather, deceased), Timothy Karnes (Sabbac, foster brother, deceased)","CM3",,,,,,,,,,,,,,,,,,
159,"Captain Midnight","null","null","null","null","null","null",,"No alter egos found.","Major Midnight","-","-","Dark Horse Comics","good","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","-","-","Red",Space-Sovereign,The Skyway Sovereign,The Sky-Lord,The Lord of the Overworld,"The Space Sentinel","Jim Albright",,,,,,,,,,,,
160,"Captain Planet","50","88","75","80","100","60",,"No alter egos found.","The Captain","-","Captain Planet and the Planeteers (TV Series)","Marvel Comics","good","Male","God / Eternal","-","0 cm","- lb","0 kg","Red","Green","-","-","The Planeteers","-","CP",Planet,,,,,,,,,,,,,,,,,
161,"Captain Universe","null","92","null","null","null","null",,"No alter egos found.","Guardian of Eternity","-","Micronauts #8 (August, 1979)","Marvel Comics","good","-","God / Eternal","-","0 cm","- lb","0 kg","-","-","-","-","-","-","The Avenging Angel",The Hero That Could Be You,,,,,,,,,,,,,,,,,
162,"Carnage","63","63","70","84","88","90","Cletus Kasady","No alter egos found.","Mass Carnage","-","Amazing Spider-Man #344 (February, 1991)","Marvel Comics","bad","Male","Symbiote","6'1","185 cm","190 lb","86 kg","Green","Red","-","New York City","Maximum Carnage: (Carrion, Shriek, Demogoblin, Doppelganger)","Venom (""father""); Shriek (""wife""); Hybrid, Lasher, Phage, Riot (""brothers""); Agony, Scream (""sisters""); Carrion, Demogoblin, Doppelganger, Toxin (""sons""); Scorn (""Daughter"")","999th",,,,,,,,,,,,,,,,,,
163,"Cat","null","90","null","null","null","null","Shirlee Bryant","No alter egos found.","-","Chicago, Illinois","The Cat #1","Marvel Comics","good","Female","null","5'8","173 cm","135 lb","61 kg","Blue","Blond","Model","Chicago, Illinois","-","-",,,,,,,,,,,,,,,,,,,
164,"Cat II","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
165,"Catwoman","69","11","33","28","27","85","Selina Kyle","No alter egos found.","The Cat","Gotham City","Detective Comics #569","DC Comics","good","Female","Human","5'9","175 cm","135 lb","61 kg","Green","Black","Thief","Gotham City","Batman Family, Outsiders; formerly Birds of Prey, Injustice League, Secret Society of Super-Villains","Brian Kyle (father, deceased), Maria Kyle (mother, deceased), Maggie Kyle (sister), Helena Kyle (daughter)","Irena Dubrovna",Elva Barr,Sadie Kelowski,Madame Moderne,Marguerite Tone,,,,,,,,,,,,,,
166,"Cecilia Reyes","null","null","null","null","null","null","Dr. Cecilia Reyes","No alter egos found.","-","Place of birth unknown","X-Men #65 (1997)","Marvel Comics","good","-","null","5'7","170 cm","138 lb","62 kg","Brown","Brown","Doctor in private practice","Salem Center","X-Men","-",,,,,,,,,,,,,,,,,,,
167,"Century","88","80","53","64","100","100",,"No alter egos found.","-","-","Force Works #1 (July, 1994)","Marvel Comics","good","Male","Alien","6'7","201 cm","215 lb","97 kg","White","White","Tracker, adventurer","-","Force Works","-",,,,,,,,,,,,,,,,,,,
168,"Cerebra","null","57","null","null","null","null","Shakti Haddad","No alter egos found.","-","-","X-Men 2099 #1 (October, 1993)","Marvel Comics","good","Female","Mutant","-","0 cm","- lb","0 kg","-","-","-","-","X-Men (2099), Halo City Protectorate, X-Nation","Zail Haddad (father)",,,,,,,,,,,,,,,,,,,
169,"Chamber","50","10","20","80","57","64","Jonothon Evan Starsmore","No alter egos found.","Decibel","United Kingdom","Generation X #1 (November, 1994)","Marvel Comics","good","Male","Mutant","5'9","175 cm","140 lb","63 kg","Brown","Brown","Adventurer","Utopia; formerly New Warriors HQ; Xavier Institute for Higher Learning, Salem Center, Westchester County, New York; Massachusetts Academy, Snow Valley, Massachusetts","X-Men; formerly New Warriors; Clan Akkaba; Weapon X; Generation X","-","Jono",Jono Hex,,,,,,,,,,,,,,,,,
170,"Chameleon","88","10","12","28","28","28","Dmitri Anatoly Smerdyakov Kravinoff","No alter egos found.","Dr. Ashley Kafka","Russia","Amazing Spider-Man #1","DC Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","The Exterminators; formerly Sinister Six, Sinister Twelve","Kravinoff Patriarch (father, deceased), mother (unnamed), Sergei Kravinoff (Kraven I, half-brother, deceased), Vladimir Kravinoff (The Grim Hunter, nephew, deceased), Alyosha Kravinoff (Kraven the Hunter, nephew), Ned Tannengarden (nephew, deceased)","Dr. Turner",J. Jonah Jameson,Torpedo,Rick Jones,Dr. Henry Pym,"Peter Parker","Captain George Stacy","Dr. Robert Bruce Banner","General",,,,,,,,,,
171,"Changeling","63","10","23","42","64","64","Kevin Sidney","No alter egos found.","Professor X","-","Uncanny X-Men #35 (August, 1967)","Marvel Comics","bad","Male","null","5'11","180 cm","180 lb","81 kg","Brown","Black","Former substitute teacher, adventurer, subversive","-","Formerly X-Humed, X-Men, Factor Three","-","Professor Charles Xavier",,,,,,,,,,,,,,,,,,
172,"Cheetah","38","8","42","20","32","70","Priscilla Rich","No alter egos found.","Kay Carlton","-","Wonder Woman Vol1 #6 (Fall 1943)","DC Comics","bad","Female","Human","5'4","163 cm","110 lb","50 kg","Green","Blond","-","-","Villainy Inc","Claudia Rich (cousin), Debi Domaine (niece)","The Cheetah",,,,,,,,,,,,,,,,,,
173,"Cheetah II","38","20","42","20","39","60","Deborah Domaine","No alter egos found.","Debbi","-","Wonder Woman Vol1 #274 (Dec 1980)","DC Comics","bad","Female","Human","5'7","170 cm","122 lb","55 kg","Green","Brown","-","Chesapeake Bay, Maryland","Former member of the Organization For Ecological Sanity · former member of the Secret Society of Super-Villains","Priscilla Rich (Cheetah I, aunt), Claudia Rich (aunt)","The Cheetah",,,,,,,,,,,,,,,,,,
174,"Cheetah III","88","100","88","80","78","95","Barbara Minerva","No alter egos found.","Barbara Minerva","-","Wonder Woman Vol2 #7 (Sept 1987)","DC Comics","bad","Female","Human","5'9","175 cm","120 lb","54 kg","Brown","Brown","Archaeologist, Anthropologist","Nottingham, England","The Society, Injustice League","-","Bride of Urzkartaga",Priscilla Rich,Deborah Domaine,Sabrina Ballesteros,,,,,,,,,,,,,,,
175,"Chromos","null","null","null","null","null","null","Bernard Embers","No alter egos found.","-","London, England","Team Epic Episode 101","Team Epic TV","bad","Male","null","6'1","185 cm","190 lb","86 kg","Brown","Red / Grey","Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.","Toronto, Canada","The Guardian Villain�s Ward (G.V.W.), Villain�s Equity (V.E.), and A.S.C. (Anti-Super Conspirators)","Hi-Jaq (daughter), Exile (son)",,,,,,,,,,,,,,,,,,,
176,"Chuck Norris","50","80","47","56","42","99","Carlos Ray Norris","No alter egos found.","Chuck","Ryan, Oklahoma, United States","-","null","good","Male","null","5'10","178 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
177,"Citizen Steel","50","95","33","100","23","60","Nathan Heywood","No alter egos found.","Buckeye","-","Justice Society of America Vol 3 #2 (March, 2007)","DC Comics","good","Male","Human","6'0","183 cm","378 lb","170 kg","Green","Red","Adventurer, former Professional Football Player","Battery Park, New York City, formerly Franklin County, Ohio","Justice Society of America","Hank Heywood, Sr. (Commander Steel, grandfather, deceased) � Hank Heywood, Jr. (uncle, deceased) � Hank Heywood III (Steel, cousin, deceased) � Kirk Heywood (brother, deceased), Nicole (cousin)","Uncle Nate",Uncle Nathan,,,,,,,,,,,,,,,,,
178,"Claire Bennet","38","9","12","100","90","28","Claire Bennet","No alter egos found.","Vivian Lewis","-","Heroes S01E01","NBC - Heroes","good","Female","null","-","0 cm","- lb","0 kg","Blue","Blond","High school student, cheerleader","formerly Odessa, TX, Costa Verde, CA","-","Adoptive parents: Sandra Bennet, Noah Bennet, Biological parents: Meredith Gordon, Nathan Petrelli, Younger adoptive brother: Lyle Bennet,  Younger half brothers: Simon Petrelli, Monty Petrelli","Claire Butler",,,,,,,,,,,,,,,,,,
179,"Clea","null","39","null","null","null","null","Clea","No alter egos found.","-","The Dark Dimension","-","Marvel Comics","good","-","null","-","0 cm","- lb","0 kg","-","White","Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange","Base of operations unknown","-","Dormammu (uncle), Umar (mother)",,,,,,,,,,,,,,,,,,,
